method,budget_fraction,generator_gap_ratio,status,objective_normalized,label_component,generator_component,noise_component,active_clients,raw_clients,interior_clients,full_clients,mean_u_active,budget,full_budget,total_payment,budget_utilization,active_original_samples,synthetic_samples_proxy,active_indices,u,normalized_absolute_gap,solver_failures
no_aigc,0.08,0.30857142857142855,ok,3.7890528505601884,3.7864259832029625,0.0,0.0026268673572258368,3,3,0,0,0.0,0.3141333333333333,3.9266666666666663,0.3035555555555556,0.9663271080928127,13660,0.0,"[0, 2, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.1,0.30857142857142855,ok,1.7840319464836782,0.931551198022561,0.8498126265792009,0.0026681218819164763,2,0,2,0,0.5537712798361574,0.39266666666666666,3.9266666666666663,0.3926666666666667,1.0000000000000002,7184,5785.4581556854955,"[0, 3]","[0.5621829869264511, 0.0, 0.0, 0.5453595727458636, 0.0, 0.0]",1.1102230246251565e-15,2
three_state,0.1,0.30857142857142855,ok,2.7938443861496975,0.0,2.7910374648567995,0.002806921292897905,1,0,0,1,1.0,0.39266666666666666,3.9266666666666663,0.3535555555555555,0.9003961516694963,3049,12861.0,[3],"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0
no_aigc,0.1,0.30857142857142855,ok,3.5260016478956984,3.5231947266028003,0.0,0.002806921292897905,1,1,0,0,0.0,0.39266666666666666,3.9266666666666663,0.35224444444444447,0.8970571590265989,15851,0.0,[5],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.15,0.30857142857142855,ok,1.0996252620864009,0.5491145176495071,0.5477038231439959,0.002806921292897905,1,0,1,0,0.6052127309088728,0.589,3.9266666666666663,0.589,1.0,15851,8842.56957331744,[5],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.6052127309088728]",1.0296208330373702e-12,3
three_state,0.15,0.30857142857142855,ok,1.6721117740623375,1.6694554929813537,0.0,0.0026562810809837864,3,3,0,0,0.0,0.589,3.9266666666666663,0.5639111111111111,0.9574042633465385,25376,0.0,"[2, 3, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
no_aigc,0.15,0.30857142857142855,ok,1.6721117740623375,1.6694554929813537,0.0,0.0026562810809837864,3,3,0,0,0.0,0.589,3.9266666666666663,0.5639111111111111,0.9574042633465385,25376,0.0,"[2, 3, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.2,0.30857142857142855,ok,0.910103019637157,0.8682504367215166,0.03921776885407295,0.002634814061567497,3,0,3,0,0.1257115649254512,0.7853333333333333,3.9266666666666663,0.7853333333333334,1.0000000000000002,31340,3333.1017040981124,"[1, 4, 5]","[0.0, 0.15998431585204886, 0.0, 0.0, 0.05713542267239989, 0.16001495625190484]",6.898925875020723e-13,0
three_state,0.2,0.30857142857142855,ok,1.17069088174227,1.1680700981986476,0.0,0.0026207835436224095,4,4,0,0,0.0,0.7853333333333333,3.9266666666666663,0.7467555555555556,0.9508771929824562,33604,0.0,"[0, 1, 3, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
no_aigc,0.2,0.30857142857142855,ok,1.17069088174227,1.1680700981986476,0.0,0.0026207835436224095,4,4,0,0,0.0,0.7853333333333333,3.9266666666666663,0.7467555555555556,0.9508771929824562,33604,0.0,"[0, 1, 3, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.3,0.30857142857142855,ok,0.6290371221536404,0.5267053836356482,0.09973687979533208,0.002594858722660039,5,0,5,0,0.21313812021316964,1.178,3.9266666666666663,1.178,1.0,41951,7679.701501909865,"[0, 1, 2, 4, 5]","[0.1988023257444031, 0.22351047682947398, 0.30016914693149477, 0.0, 0.15668153926545314, 0.18652711229502317]",4.3220982348657344e-13,0
three_state,0.3,0.30857142857142855,ok,0.8530094308387358,0.85042269787861,0.0,0.002586732960125739,6,6,0,0,0.0,1.178,3.9266666666666663,1.0,0.8488964346349746,45000,0.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
no_aigc,0.3,0.30857142857142855,ok,0.8530094308387358,0.85042269787861,0.0,0.002586732960125739,6,6,0,0,0.0,1.178,3.9266666666666663,1.0,0.8488964346349746,45000,0.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
