method,budget_fraction,cost_ratio,base_cost_total,aigc_unit_cost,status,objective_normalized,budget,full_budget,total_payment,budget_utilization,active_clients,raw_clients,interior_clients,full_clients,active_original_samples,synthetic_samples_proxy,total_augmented_samples_proxy,mean_u_active,active_indices,u,missing_ratio,full_synthetic_n,normalized_absolute_gap,solver_failures
three_state,0.06,0.5,0.5,1.0,ok,1.3480340109827953,0.2056,3.4266666666666667,0.19725555555555557,0.9594141807176827,3,3,0,0,17753,0.0,17753.0,0.0,"[0, 1, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
no_aigc,0.06,0.5,0.5,1.0,ok,1.3480340109827953,0.2056,3.4266666666666667,0.19725555555555557,0.9594141807176827,3,3,0,0,17753,0.0,17753.0,0.0,"[0, 1, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
continuous,0.08,0.5,0.5,1.0,ok,0.043459025000113574,0.27413333333333334,3.4266666666666667,0.27413333333333334,1.0,1,0,1,0,3049,8416.549962444296,11465.549962444296,0.9081020500274759,[3],"[0.0, 0.0, 0.0, 0.9081020500274759, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",7.798761636479412e-13,2
three_state,0.08,0.5,0.5,1.0,ok,1.0663751533052228,0.27413333333333334,3.4266666666666667,0.2646666666666667,0.965466926070039,3,3,0,0,23820,0.0,23820.0,0.0,"[3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
no_aigc,0.08,0.5,0.5,1.0,ok,1.0663751533052228,0.27413333333333334,3.4266666666666667,0.2646666666666667,0.965466926070039,3,3,0,0,23820,0.0,23820.0,0.0,"[3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
continuous,0.1,0.5,0.5,1.0,ok,0.002806921292897905,0.3426666666666667,3.4266666666666667,0.3196777777776592,0.932911802853091,1,0,0,1,3049,12860.999999984624,15909.999999984624,0.9999999999997708,[3],"[0.0, 0.0, 0.0, 0.9999999999997708, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,3
three_state,0.1,0.5,0.5,1.0,ok,0.002806921292897905,0.3426666666666667,3.4266666666666667,0.3196777777777777,0.9329118028534369,1,0,0,1,3049,12861.0,15910.0,1.0,[3],"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
no_aigc,0.1,0.5,0.5,1.0,ok,0.6861087845293953,0.3426666666666667,3.4266666666666667,0.32743333333333335,0.9555447470817121,3,3,0,0,29469,0.0,29469.0,0.0,"[1, 3, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
continuous,0.15,0.5,0.5,1.0,ok,0.002806921292897905,0.514,3.4266666666666667,0.46644444444438543,0.9074794638995826,1,0,0,1,4920,18529.99999999294,23449.99999999294,0.9999999999999201,[4],"[0.0, 0.0, 0.0, 0.0, 0.9999999999999201, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,7
three_state,0.15,0.5,0.5,1.0,ok,0.002806921292897905,0.514,3.4266666666666667,0.4664444444444444,0.9074794638996972,1,0,0,1,4920,18529.999999999996,23449.999999999996,1.0,[4],"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
no_aigc,0.15,0.5,0.5,1.0,ok,0.42779808189943075,0.514,3.4266666666666667,0.5,0.9727626459143969,6,6,0,0,45000,0.0,45000.0,0.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
continuous,0.2,0.5,0.5,1.0,ok,0.002806921292897905,0.6853333333333333,3.4266666666666667,0.46644444444438543,0.6806095979246869,1,0,0,1,4920,18529.99999999294,23449.99999999294,0.9999999999999201,[4],"[0.0, 0.0, 0.0, 0.0, 0.9999999999999201, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,9
three_state,0.2,0.5,0.5,1.0,ok,0.002806921292897905,0.6853333333333333,3.4266666666666667,0.4664444444444444,0.6806095979247729,1,0,0,1,4920,18529.999999999996,23449.999999999996,1.0,[4],"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
